จังหวัด,รายชื่อวัด
เลย,วัดผาน้ำเต้าทอง
,วัดสว่างสามัคคี
,วัดทรายมูล
,วัดโพนทอง
,วัดศรีสมบูรณ์ 
,วัดศรีอภัยวัน
,วัดโพธิ์ศรีนาเวียง
,วัดพุทธสามัคคีบุรีเลย
,วัดโพนแก้ว
,วัดโนนทอง
,วัดสีมาพัฒนาราม
,วัดทองสว่างศรีนวล
,วัดชายแดนสามัคคี
,วัดซำไฮพัฒนาราม
,วัดยอดธาตุ
,วัดโพนศรีสว่าง
,วัดวารินทราวาส
,วัดคุณสมบัติพัฒนา
,วัดสันติวนาราม
,วัดป่าวังเลา
,วัดโพธิ์ชัย
,วัดราษฎร์สามัคคีธรรม
,วัดโพธิ์ชัยสุราราม
,วัดตาลเดี่ยว
,วัดม่วงไข่
,วัดไพรสณฑ์
,วัดพุทธราราม 
,วัดศรีสุทธาวาส
,วัดโพนข่า
,วัดอำนวยศิลป์
,วัดศรีอุมุงวนาราม
,วัดธรรมจาริการาม
,วัดศรีสะอาด
,วัดจอมมณี
,วัดศรีชมชื่น
,วัดเย็นศรีระธรรมประทีป
,วัดโพนหนอง
,วัดโพนลาด
,วัดโคกงาม
,วัดเวฬุวัน
,วัดสว่างวารี
,วัดพระธาตุ
,วัดศรีห้วยเป้า
,วัดป่าพรประเสริฐ
,วัดจำแลงพัฒนาราม
,วัดสีลธราราม
,วัดป่าสามัคคีพัฒนา
,วัดเขาสามัคคีธรรม
,วัดศรีสะอาดวารี
,วัดประจักวนาราม
,วัดศรีสะเกษ
,วัดป่าวังยาง
,วัดป่าห้วยลาด
,วัดวุฒาราม
,วัดป่าสมัยพัฒนาราม
,วัดนครบาล
,วัดหนองอีเก้ง
,วัดโพธิ์เย็น
,วัดสมศักดิ์พัฒนาราม
,วัดบูรพาราม
,วัดแท่นศิลาอาสน์
,วัดศรีสว่างจอมแจ้ง
,วัดศรีสว่างดงเย็น 
,วัดเลียบ
,วัดโพธิ์ทอง
,วัดศรีทองสามัคคีธรรม
,วัดป่าโนนสมบูรณ์
,วัดคามวาสี
,วัดถ้ำผากลอง
,วัดอัมพวัน
,วัดมัชฌิมาราม
,วัดบ้านโป่งพัฒนาราม
,วัดไตรมิตรวิทยาราม
,วัดโนนอุดม
,วัดป่าท่าสวย
,วัดศรีภูเรือ
,วัดโคกใหญ่
,วัดโคกป่าบก
,วัดอุทัยบรรพต
,วัดโพนชัย
,วัดอุทุมพรพัฒนา
,วัดโนนสำราญ
,วัดศรีสัตตนาค
,วัดราษฎร์ประสงค์สามัคคี
,วัดหนองขอนทอง
,วัดศิริมังคลาราม
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดโพนบรรพตวนาราม
,วัดไร่ศรีชุมแพ
,วัดสามัคคีธรรม
,วัดศรีจันทร์
,วัดศรีสะอาดโพนทัน
,วัดสุขทวีคูณ
,วัดศรีภูมิ
,วัดโพธิ์นิมิต
,วัดศรีวิชัยวนาราม
,วัดเทพศิรินทร์พัฒนาราม
,วัดศรีเจริญพัฒนา
,วัดศรีห้วยไผ่เหนือ
,วัดดอยสุวรรณ
,วัดศรีปทุมภักดี
,วัดถิ่นฐานรังสิต
,วัดตะนาวศรี
,วัดราษฎร์สามัคคี
,วัดห้วยสีเสียด
,วัดสะเพียนทอง 
,วัดโพนศรี
,วัดทิพย์ชลธาวนาราม
,วัดท่าแขก
,วัดศรัทธาธรรม
,วัดไทรคำ
,วัดศรีห้วยไผ่ใต้
,วัดเทพจันดาราม
,วัดเกาะแก้วชลที 
,วัดจิตมั่นคงธรรม
,วัดศรีมณี
,วัดศรีเทพ
,วัดภัทราราม
,วัดเขาน้ำริน
,วัดช่องฝาง
,วัดเทพนิมิต
,วัดแสงอรุณ
,วัดไพศาลศักดาราม
,วัดหนองสพังทอง
,วัดสุธัมมิการาม
,วัดสวนห้อม
,วัดศรีสว่าง
,วัดเทพนิมิตวนาราม
,วัดจิตสังคม
,วัดเอราวัณ
,วัดศรีพรหมา
,วัดพระธาตุศรีสองรัก
,วัดศรีโสภณ
,วัดยอดแก้ว
,วัดอรัญญวาสี
,วัดป่าโคกมน
,วัดภูทอง
,วัดศรีภูมิสุรการ
,วัดป่าบำรุงจิต
,วัดธารสวรรค์
,วัดวังเดือนห้า
,วัดสว่างเกาะแก้ว
,วัดป่าศรัทธารวม
,วัดถ้ำอัครบรรพต
,วัดห้วยหมาก
,วัดสวนอัมพวัน 
,วัดโพนสว่าง
,วัดสว่างอารมณ์วัฒนา
,วัดทรงธรรม
,วัดนาซำเจริญ
,วัดป่าเลไลยก์
,วัดใหม่โคกใหญ่
,วัดป่าเปลือย
,วัดประชาราษฎร์นิมิต
,วัดสะพานยาว
,วัดสันติสุขาราม
,วัดงิ้วงาม
,วัดโนนสมบูรณ์
,วัดเหล่าตุ้มวนาราม 
,วัดโนนสว่างอารมณ์
,วัดวังสพุงพัฒนาราม
,วัดศรีภูมิพัฒนา
,วัดดอนตูม
,วัดศรีหนองหิน
,วัดโพนแท่น
,วัดแสงสว่างคงคา
,วัดถ้ำโพธิ์ชัย
,วัดศรีสอาด
,วัดศรีนิลวนาราม 
,วัดโนนสว่าง 
,วัดกกทองใหญ่
,วัดป่าพุทธยาน
,วัดสร้างเที่ยง
,วัดโพธิวนาราม 
,วัดโคกสว่างวารี
,วัดจอมศรีสว่าง
,วัดถ้ำผาปู่
,วัดช้างเผือก 
,วัดประดิษฐาราม
,วัดโป่งเบี้ย
,วัดดอยสวรรค์
,วัดจอมแจ้ง
,วัดวิเวกทีปาราม
,วัดดอนหอพัฒนาราม
,วัดผาอินทร์แปลงพัฒนาราม
,วัดธาตุดินแทน
,วัดสิริปุญญาราม
,วัดวิชัยรวมมิตร
,วัดหัวนายุง
,วัดเฉลียงทอง
,วัดศรีคุณเมือง
,วัดผาสุการาม
,วัดศรีลำดวน
,วัดธาตุเจดีย์
,วัดพูนนิมิตศรีบุญเรือง
,วัดโนนสูง
,วัดพองโกพัฒนาราม
,วัดศรีวิชัยประชาราม
