จังหวัด,รายชื่อวัด
แพร่,วัดหนองเจริญ
,วัดม่วงคำ
,วัดทุ่งน้าว
,วัดแม่พวก
,วัดต้นม่วง
,วัดสองแควบน
,วัดแม่กระต๋อม
,วัดแม่ยางตาล
,วัดพระธาตุสุโทนมงคลคีรี
,วัดร่องกาศใต้
,วัดเกษมสุข
,วัดมงคลถาวร
,วัดไผ่โทน
,วัดทุ่งศรี
,วัดอ้อยหลวง
,วัดนาตอง
,วัดห้วยโป่ง
,วัดกาศใต้
,วัดร่องแค
,วัดทองเกศ
,วัดกาศเหนือ
,วัดปางยาว
,วัดชัยเขต
,วัดนาบุญ
,วัดลูนิเกต
,วัดธรรมเมือง
,วัดดงเจริญ
,วัดพงษ์สุนันท์
,วัดแก้วมงคล
,วัดน้ำแรม
,วัดศรีสว่าง 
,วัดต้าแป้น
,วัดวังต้นเกลือ
,วัดจอมสวรรค์
,วัดบางสนุก
,วัดบ้านใน
,วัดพระธาตุดอยแก้ว
,วัดพงพร้าว
,วัดแม่ยุ้น
,วัดแพะหนองบ่อ
,วัดสบสาย
,วัดเวฬุวัน
,วัดบุญเย็น
,วัดนาใหม่
,วัดผาสุก
,วัดป่าสัก
,วัดป่าไผ่
,วัดดอนดี
,วัดนาแหลมเหนือ
,วัดมณีอรัญญิการาม(วัดน้ำฮอก
,วัดเมธังกราวาส
,วัดดอนทัน
,วัดท่าเดื่อ
,วัดเทพสุนทรินทร์
,วัดดอนชุม
,วัดดงสุระ
,วัดดงลาน
,วัดแม่ทราย
,วัดศรีดอนคำ
,วัดวังช้าง
,วัดนันทาราม
,วัดกลาง
,วัดนาพูน
,วัดวังชิ้น
,วัดกาญจนาราม
,วัดน้ำริน
,วัดหนองสุวรรณ
,วัดวุฒิมงคล
,วัดพระธาตุช่อแฮ
,วัดต้นธง
,วัดห้วยหม้าย
,วัดเหมืองหม้อ
,วัดพระบาทมิ่งเมืองวรวิหาร
,วัดย่านยาว
,วัดแม่หล่าย
,วัดหนองแขม
,วัดวังเลียง
,วัดคุ้มครองธรรม
,วัดทุ่งล้อม
,วัดวังดิน
,วัดแม่ลอง
,วัดวังเบอะ
,วัดสุวรรณาราม
,วัดร่องแดง
,วัดไผ่ล้อม
,วัดทุ่งโฮ้งใต้
,วัดศรีภูมิ
,วัดแดนชุมพล
,วัดโชคเกษม
,วัดชัยสิทธิ์
,วัดดอนมูล
,วัดดงใต้
,วัดน้ำชำ
,วัดเหมืองค่า
,วัดวังลึก
,วัดน้ำเลา
,วัดกาซ้อง
,วัดสันพยอม
,วัดแม่แปง
,วัดเวียงสันทราย
,วัดบุญเจริญ
,วัดรัมณีย์
,วัดวังหลวง
,วัดนิวิฐศรัทธาราม
,วัดป่าวิเวการาม
,วัดวังฟ่อน
,วัดแม่หลู้
,วัดพระนอน
,วัดหนองม่วงไข่
,วัดพงหัวหาด
,วัดท่อสมาน
,วัดศรีคีรี
,วัดกุญชรนิมิต
,วัดร้องกวาง
,วัดเขื่อนคำลือ
,วัดแม่ยางโพธิ์
,วัดหาดรั่ว
,วัดผาจั๊บ
,วัดโปร่งศรี
,วัดพระธาตุพระลอ
,วัดบุญเริง
,วัดมณีวรรณ
,วัดปากปง
,วัดปางไม้
,วัดเวียงตั้ง
,วัดวังกวาง
,วัดหัวเมือง
,วัดน้ำโค้ง
,วัดสูงเม่น
,วัดป่าแดง
,วัดใหม่กลาง
,วัดหนองบัว
,วัดแม่แคม
,วัดร่องฟอง
,วัดแม่คำมี
,วัดแม่ยางใหม่
,วัดสันป่าสัก
,วัดป่าเวียงทอง
,วัดหนองบ่อ
,วัดแม่เกี่ยม
,วัดศรีดอก
,วัดสะเลียม
