จังหวัด,รายชื่อวัด
แม่ฮ่องสอน,วัดสบสอย
,วัดแก่นฟ้า
,วัดทุ่งแพม
,วัดแสนทอง
,วัดศรีลาภา
,วัดหลวง
,วัดห้วยโป่ง
,วัดสบหารเหนือ
,วัดกิตติวงศ์
,วัดหมอกจำแป่
,วัดน้ำกัด
,วัดแม่คะตวน
,วัดกุงไม้สัก
,วัดป่าลาน
,วัดห้วยทรายขาว
,วัดผาอ่าง
,วัดแม่สุ
,วัดหัวเวียง
,วัดนาปลาจาด
,วัดหัวปอน
,วัดทรายขาว
,วัดหางปอน
,วัดโป่ง
,วัดทุ่งมะส้าน
,วัดทุ่งยาว
,วัดกลางทุ่ง
,วัดคำใน
,วัดคะปวงนอก
,วัดชัยมงคล
,วัดโวหารคุณ
,วัดปุงยาม
,วัดบ้านใหม่
,วัดแม่นาเติงนอก
,วัดกลาง
,วัดท่าผาปุ้ม
,วัดพระธาตุจอมแจ้ง
,วัดโป่งสา
,วัดม่วยต่อ
,วัดสุพรรณรังษี
,วัดผาผ่า
,วัดใหม่เมืองแปง
,วัดดอยเกิ้ง
,วัดคอนผึ้ง
,วัดถ้ำพระ
,วัดชัยลาภ
,วัดก้ำก่อ
,วัดธรรมเจดีย์วนาราม
,วัดแม่ลาน้อย
,วัดแม่หาร
,วัดแม่ปาง
,วัดแม่เกาะ
,วัดบ้านกลาง
,วัดแม่ฮี้
,วัดพระธาตุดอยกองมู
,วัดป่าฝาง
,วัดท่าปาย
,วัดน้ำฮู
,วัดห้วยเดื่อ
,วัดปางคาม
,วัดท่าข้ามเหนือ
,วัดห้วยหลวง
,วัดแม่สุริน
,วัดนาปู่ป้อม
,วัดทุ่งเมืองปอน
,วัดปางหมู
,วัดผาบ่องเหนือ
,วัดนาจลอง
,วัดแม่สุยะ
,วัดบ้านไร่
,วัดน้ำดิบ
,วัดสบป่อง
,วัดพระนอน
,วัดศิลาหลวงเรไร
,วัดทุ่งโป่ง
,วัดท่าข้ามใต้
,วัดพระธาตุจอมกิตติ
,วัดแม่ของ
,วัดหมอแปง
,วัดห้วยขาน
,วัดแม่ละนา
,วัดแพมกลาง
,วัดป่าปุ๊
,วัดจันทราวาส
,วัดศรีดอนชัย
,วัดประตูเมือง
,วัดในสอย
,วัดศรีบุญเรือง
,วัดแม่สะกึด
,วัดขุ่ม
,วัดเมืองแพม
,วัดบ้านแพะ
,วัดสิทธิมงคล
,วัดดอนเจดีย์
,วัดม่วงสร้อย
,วัดผาบ่องใต้
,วัดแม่สะลาบ
,วัดห้วยวอก
,วัดบ้านไหม้
,วัดโพธาราม
,วัดกองก๋อย
,วัดกุงเปา
,วัดแม่ต้อบ
,วัดไม้ฮุง
,วัดทุ่งกองมู
,วัดจอมทอง
,วัดจองคำ
,วัดสล่าเชียงตอง
,วัดแม่ลาหลวง
,วัดท่าหินส้ม
,วัดป่าแม่เหมืองหลวง
,วัดป่าแก้วนันทพร
,วัดพระธาตุจอมมอญ
,วัดจอมแจ้ง
,วัดปางล้อ
,วัดห้วยสิงห์
,วัดต่อแพ
,วัดแม่สะงา
,วัดป่าหมาก
,วัดแม่นาเติงใน
,วัดป่าถ้ำวัว
,วัดแพมบก
,วัดเมืองปอน
,วัดพระธาตุดอยกิ่วขมิ้น
,วัดห้วยทราย
,วัดป่าขาม
,วัดห้วยผา
,วัดอุทธยารมณ์
,วัดโป่งน้ำร้อน
,วัดหัวนา
,วัดศรีวิชัย
,วัดอมราวาส
,วัดแม่ปิง
,วัดทุ่งแล้ง
